   X   Y  Sig11  Sig22  Sig33  Sig23  Sig13  Sig12
           2          92   16.326534728032254        39.908604823428803        42.463454427962361       -8.6434400737290780       0.60405152795823525       0.80614562424424663     
           2          93   17.074943235985742        40.637225025488767        42.512680893534032       -9.9215770964213661       0.52053152972310135        1.0543475161610356     
           2          94   18.118087769648330        41.651291430815576        42.806981592410338       -11.448396564456608       0.24601616548917760        1.2795238090026149     
           2          95   19.497713316164525        43.008451340655512        43.468395592595783       -13.344944043846702      -0.28499443638843053        1.4804844746380232     
           2          96   21.303036039323235        44.834285172836083        44.740072199030465       -15.812685894170421       -1.1100601833451667        1.7015124838772497     
           2          97   23.669520471996861        47.376401569874844        46.989680993887426       -19.061236371522487       -2.1228792158731742        2.1429950445396595     
           2          98   27.285256802040152        51.561177630785025        50.454824085272207       -23.411987654932517       -3.0658359318846715        3.4072790751258704     
           2          99   34.549248472388854        58.210997315264770        51.278107745123670       -29.040816096240242       -2.8094678792853545        5.7041353463798359     
           2         100   25.210579931491324        22.918939378341335        47.190439461789282       -38.504577884655049      -7.06122266178311753E-002  -2.3774219547807585     
           3           1   7.0935943023504269        4.8154014115405763        32.000699327096619        33.429324495871441        9.1905110247968125       -1.4857794621964999     
           3           2   28.050316608355846        61.432391939541674        35.795302550346904        36.109552826560936      -0.75766060787006806       -3.0767503585317710     
           3           3   30.504202951259451        64.750411009479421        45.362190724514015        34.457609689187102       -9.2739683242443132       -3.2542245751451957     
           3           4   27.549650539808031        57.015437057503107        44.936944939881194        28.124885675846535       -5.4709818669311234       -1.4375616875553177     
           3           5   25.242090794800280        53.390570152362301        44.285790643860928        23.522182705588449       -3.5446731833893286       -1.0102242770137277     
           3           6   23.409531525803501        51.026849009762181        43.572015911717088        19.837885199536238       -2.6599264597993506       -1.0829923902390430     
           3           7   22.099234756505584        49.159469210853509        42.950581668691164        16.857723768474191       -2.2556243176088375       -1.3734267728952523     
           3           8   21.137494070550108        47.543746280537270        42.491224051309089        14.422085498707036       -2.0443672513932523       -1.6656273114768725     
           3           9   20.338226117269041        46.148934033141039        42.223310660311505        12.435800179006840       -1.9445731858748372       -1.8617436905859235     
           3          10   19.587637508538634        44.980270399454476        42.138419667265218        10.810447288378075       -1.9397062895080128       -1.9634868925231062     
           3          11   18.856423721634702        44.032742472350854        42.208876925737989        9.4678798396258248       -2.0142268002250021       -2.0121200957665244     
           3          12   18.169632545802902        43.289745651006932        42.402411143631987        8.3474502082544948       -2.1395916935058308       -2.0497343655218843     
           3          13   17.573914382461666        42.735921590132996        42.689133416269264        7.4032696554625606       -2.2745836205528511       -2.1079328476153889     
           3          14   17.097614387700435        42.364935562027092        43.058875133049611        6.5891433687883945       -2.3680956542962881       -2.1991511526194545     
           3          15   16.719511322416764        42.166711960417196        43.552312814100553        5.8502775411868271       -2.4081852116109315       -2.2993306115804693     
           3          16   16.488123710008665        42.113265720708334        44.171753049793089        5.1786124392651969       -2.4828709075720954       -2.3706054740743947     
           3          17   16.552756990803992        42.150290738298175        44.826364485781724        4.5437186661178330       -2.6323432270383806       -2.4198852802067381     
           3          18   16.853836613135833        42.221630558041831        45.485267573720776        3.8874951151367312       -2.7790265238180365       -2.4265526751344861     
           3          19   17.061110204972056        42.305088781220768        46.223429597640717        3.1678761766202195       -2.8823950729905414       -2.3251069443685273     
           3          20   16.964340884312197        42.440615833419685        47.045124283138492        2.3868639092779036       -2.8375392219256974       -2.1127270351483416     
           3          21   16.768191225594599        42.688701197136105        47.795065333753421        1.6130462651359352       -2.4883557295251522       -1.8496343535730866     
           3          22   16.866706808381146        43.087670399263665        48.298743956757619       0.93995903742652565       -1.8787111585817693       -1.5240972467007139     
           3          23   17.401735844404737        43.681530045025497        48.523820798522713       0.38232371828011114       -1.2272375232747410       -1.0299783298202412     
           3          24   18.204375262564621        44.550885207562700        48.526366120418054      -0.15962280463417963      -0.74374986641875540      -0.27377662121168411     
           3          25   18.961709811798809        45.720934411441796        48.349333474731807      -0.85015490836268637      -0.58693709675888006       0.69350300573100276     
           3          26   19.487290980337981        47.124751513208800        47.971912816927905       -1.9052809695350941      -0.82813353339195794        1.7359283545161612     
           3          27   19.821349154609177        48.574624557190674        47.220301316506514       -3.5427392821312114       -1.4838928667503637        2.7857467893456920     
           3          28   20.199311377000797        49.993138862272374        45.166804682950399       -5.8537148509807801       -2.3983718782589443        4.2218067768039296     
           3          29   17.943468570780610        50.635148360837292        36.715395636802995       -5.7097983781090900      -0.36562296141703038        6.5289488449955009     
           3          30   10.465662964512084        35.345830818399946        33.054184341015301       -1.4816539153187747        2.7006680821461626       -2.0723312118576933     
           3          31   14.041563983158406        35.587211816665146        40.973031569372452       -5.5737950046145590        3.4101709485289331       0.22578260611165948     
